"id","timestamp","action","details","actorUserId"
"3cce991e-a1e1-4ad1-88cd-cb437d37d31f","2025-07-01 10:54:55.304+01","USER_CREATED","{""userId"":""59c044f9-fd9c-4a06-ada9-e0a5ce7a24b1"",""role"":""Registry""}","59c044f9-fd9c-4a06-ada9-e0a5ce7a24b1"
"b0483d7a-afa2-4092-a88c-4bb392ade477","2025-07-01 10:54:55.376+01","USER_CREATED","{""userId"":""5b778a1b-4d1b-47ca-89f0-d42b3c969bb2"",""role"":""Registry""}","5b778a1b-4d1b-47ca-89f0-d42b3c969bb2"
"7234cab2-76d4-4030-b541-2385fc73dc8d","2025-07-01 10:54:55.442+01","USER_CREATED","{""userId"":""9713187c-3fb0-40ea-a67d-183725306722"",""role"":""Registry""}","9713187c-3fb0-40ea-a67d-183725306722"
"b2f274e8-fb1a-49fd-8fa2-bed7df15b3cb","2025-07-01 10:54:55.509+01","USER_CREATED","{""userId"":""f6fa4fbc-84c6-4288-905c-919fb256d439"",""role"":""Registry""}","f6fa4fbc-84c6-4288-905c-919fb256d439"
"0dbb8351-c383-4c31-89dc-3e37e2459681","2025-07-01 10:54:55.584+01","USER_CREATED","{""userId"":""fe664457-1859-4f6d-9697-bb46925d6ee4"",""role"":""Registry""}","fe664457-1859-4f6d-9697-bb46925d6ee4"
"3b934f2d-d2ef-46cc-a7ac-0a103e74dcfb","2025-07-01 10:54:55.655+01","USER_CREATED","{""userId"":""6ac50ec1-7469-4cd7-a38d-8ba1dbcf8768"",""role"":""Landlord""}","6ac50ec1-7469-4cd7-a38d-8ba1dbcf8768"
"c452651f-cc8f-4604-a36d-7742517d0506","2025-07-01 10:54:55.721+01","USER_CREATED","{""userId"":""b7628daa-c2e7-4855-bdc8-6e8e0e2ac1a4"",""role"":""Landlord""}","b7628daa-c2e7-4855-bdc8-6e8e0e2ac1a4"
"a1316892-da96-43c5-bf5c-767958fa2a31","2025-07-01 10:54:55.788+01","USER_CREATED","{""userId"":""3ce1ec08-c172-4571-9a83-964a24aa3ade"",""role"":""Landlord""}","3ce1ec08-c172-4571-9a83-964a24aa3ade"
"d16aeda9-a608-4b81-8d24-a27d6ab3e240","2025-07-01 10:54:55.856+01","USER_CREATED","{""userId"":""99e50942-3481-49b7-b927-52ae16fd44fb"",""role"":""Landlord""}","99e50942-3481-49b7-b927-52ae16fd44fb"
"5c548fad-e114-47be-bdae-228fcbf01fe4","2025-07-01 10:54:55.922+01","USER_CREATED","{""userId"":""dc52abc5-dcbc-46f2-8769-ca850981d5c0"",""role"":""Landlord""}","dc52abc5-dcbc-46f2-8769-ca850981d5c0"
