"id","requestDate","status","rejectionReason","verificationDate","registryComments","landlordId","landId","verifiedByRegistryId","createdAt","updatedAt"
"9e5cd091-2612-437a-94ef-f87e69eebd36","2025-07-01 10:55:17.392+01","Issued",NULL,NULL,NULL,"6ac50ec1-7469-4cd7-a38d-8ba1dbcf8768","926e4bac-e208-4127-981c-64cc3ec66002","e8d3547d-945a-4864-ae48-a4aedf313c1d","2025-07-01 10:55:17.392+01","2025-07-01 10:55:17.392+01"
"b638e208-966a-45f1-b747-182a92d09f14","2025-07-01 10:55:17.4+01","Issued",NULL,NULL,NULL,"6ac50ec1-7469-4cd7-a38d-8ba1dbcf8768","bcd5d414-7c70-403f-849b-ee04c2e67dbd","fa8978e9-0afd-4b3b-86c1-b7fbb61e9355","2025-07-01 10:55:17.4+01","2025-07-01 10:55:17.4+01"
"2cd7902c-3b49-4436-b330-4b1cc4c55f14","2025-07-01 10:55:17.407+01","Issued",NULL,NULL,NULL,"6ac50ec1-7469-4cd7-a38d-8ba1dbcf8768","3ac27f7e-6b02-4eec-b9b4-8d5bd1d1a789","9713187c-3fb0-40ea-a67d-183725306722","2025-07-01 10:55:17.407+01","2025-07-01 10:55:17.407+01"
"21e2de89-9092-4068-9187-38c2f73978fb","2025-07-01 10:55:17.415+01","Issued",NULL,NULL,NULL,"6ac50ec1-7469-4cd7-a38d-8ba1dbcf8768","7ba327ae-bf4a-43ac-970b-14eaf8143491","ee6ff991-409f-4bf8-b8f2-9ee2e1ea6d10","2025-07-01 10:55:17.415+01","2025-07-01 10:55:17.415+01"
"63ab2095-57ea-45a7-8d87-ffeb7ec63eb0","2025-07-01 10:55:17.422+01","Issued",NULL,NULL,NULL,"b7628daa-c2e7-4855-bdc8-6e8e0e2ac1a4","06c53544-dd9e-43e1-8e31-47b3139002e9","1a2ede7b-0512-4d87-bcd1-1bb048e4352d","2025-07-01 10:55:17.422+01","2025-07-01 10:55:17.422+01"
"a96b09a5-f6a5-4a72-8e93-8b2e6ff3ddbc","2025-07-01 10:55:17.43+01","Issued",NULL,NULL,NULL,"b7628daa-c2e7-4855-bdc8-6e8e0e2ac1a4","1566670f-8de1-4dc1-b5fb-26099ccfbbaf","5b778a1b-4d1b-47ca-89f0-d42b3c969bb2","2025-07-01 10:55:17.43+01","2025-07-01 10:55:17.43+01"
"8611ffb0-50b3-48da-9eb3-e3dff5c7ad6b","2025-07-01 10:55:17.437+01","Issued",NULL,NULL,NULL,"b7628daa-c2e7-4855-bdc8-6e8e0e2ac1a4","de64ee9e-1501-4f94-b352-76fe1a1d2b0c","34f301ce-f90e-49a7-b3be-874dfdea1a50","2025-07-01 10:55:17.437+01","2025-07-01 10:55:17.437+01"
"e5a04a5f-5b6c-400f-8a80-844d75cc476d","2025-07-01 10:55:17.445+01","Issued",NULL,NULL,NULL,"3ce1ec08-c172-4571-9a83-964a24aa3ade","9896fd16-157d-4499-b499-e62bec15d53e","fa8978e9-0afd-4b3b-86c1-b7fbb61e9355","2025-07-01 10:55:17.445+01","2025-07-01 10:55:17.445+01"
"8949e120-666d-402d-a693-e79cf8590324","2025-07-01 10:55:17.46+01","Issued",NULL,NULL,NULL,"99e50942-3481-49b7-b927-52ae16fd44fb","db43cc0c-6319-435f-8916-dc9511e4d166","fe664457-1859-4f6d-9697-bb46925d6ee4","2025-07-01 10:55:17.46+01","2025-07-01 10:55:17.46+01"
"d9fec41c-23b9-4b1c-90eb-b623113ca9b1","2025-07-01 10:55:17.469+01","Issued",NULL,NULL,NULL,"99e50942-3481-49b7-b927-52ae16fd44fb","130b2c7c-24b3-420c-bb87-8c965c78b146","fa8978e9-0afd-4b3b-86c1-b7fbb61e9355","2025-07-01 10:55:17.469+01","2025-07-01 10:55:17.469+01"
"89e477a6-2d88-4b8b-8b45-3f86d3397da8","2025-07-01 10:55:17.478+01","Issued",NULL,NULL,NULL,"dc52abc5-dcbc-46f2-8769-ca850981d5c0","0c906d27-b07c-4550-8636-e91eadd233b8","5b778a1b-4d1b-47ca-89f0-d42b3c969bb2","2025-07-01 10:55:17.478+01","2025-07-01 10:55:17.478+01"
"5e7c8729-a1e8-46d1-967e-f8213a1a3ad2","2025-07-01 10:55:17.486+01","Issued",NULL,NULL,NULL,"dc52abc5-dcbc-46f2-8769-ca850981d5c0","59e7c0b0-6dd9-4d9f-a569-406b0418edc2","e8d3547d-945a-4864-ae48-a4aedf313c1d","2025-07-01 10:55:17.486+01","2025-07-01 10:55:17.486+01"
"3b2f5e63-f38e-423c-80f7-50eb54e12ab9","2025-07-01 10:55:17.492+01","Issued",NULL,NULL,NULL,"dc52abc5-dcbc-46f2-8769-ca850981d5c0","ca4d51ab-57cf-4ce1-84c9-eb7928b11e85","9713187c-3fb0-40ea-a67d-183725306722","2025-07-01 10:55:17.492+01","2025-07-01 10:55:17.492+01"
"6d79172e-a0c9-4291-864a-0ca75c06dcb6","2025-07-01 10:55:17.5+01","Issued",NULL,NULL,NULL,"dc52abc5-dcbc-46f2-8769-ca850981d5c0","4b4a2e15-85c6-401c-b9f5-944935793480","0a008813-1904-4243-951b-8e83afaf8f19","2025-07-01 10:55:17.5+01","2025-07-01 10:55:17.5+01"
